epoch,train_rmse,val_rmse
1,0.14104440748330077,0.06698084304589562
2,0.0576446908135111,0.04004093054095112
3,0.054912340724252585,0.03924498362164676
4,0.05488219086606932,0.03898364714650151
5,0.055567909919646004,0.038015337617010286
6,0.05589949290199367,0.03683858915792934
7,0.05578058352226267,0.035915674914792466
8,0.05594461048221092,0.03408544501846353
9,0.05541089243066406,0.03257340845732087
10,0.053968348271532365,0.030193257670869732
11,0.053535687949154934,0.028606490740410866
12,0.05295600624314786,0.03170460735800469
13,0.05304609943025566,0.0336841374074219
14,0.052704973420568686,0.034784906143017866
15,0.05056150670165665,0.035621831056087995
