epoch,train_rmse,val_rmse
1,0.08353361113358646,0.043949685181067705
2,0.04537078960774371,0.04620006271812825
3,0.046073367259804265,0.044777663839112504
4,0.04566330047533874,0.040038158977092245
5,0.049588440982117656,0.03610274524068264
6,0.06646123441449855,0.03396264558946621
7,0.06160596202366688,0.032751037889160395
8,0.06140903750957898,0.032725616176114074
9,0.06079339753289946,0.033277065943048495
10,0.05350703015488513,0.034220739333719746
11,0.05069850056354722,0.03402870089005241
12,0.05099612805520193,0.03263109923558203
13,0.05572742387580738,0.03305443830440161
14,0.058725544120826,0.03523471539266069
15,0.05734669764943652,0.036322106064822446
16,0.05183456102197476,0.0359819296419576
