epoch,train_rmse,val_rmse,lr,hidden_size,dropout
1,0.13586731771042826,0.37748644482502325,1.0725154988056955e-05,64,0.15387205208053772
2,0.06706642861322187,0.39841026395376156,1.0725154988056955e-05,64,0.15387205208053772
3,0.06677245625718349,0.3981427480355308,1.0725154988056955e-05,64,0.15387205208053772
4,0.0660781985179451,0.3959389700210287,1.0725154988056955e-05,64,0.15387205208053772
5,0.06463326664036537,0.401924016928296,5.362577494028477e-06,64,0.15387205208053772
6,0.08253100906637598,0.43055943735014796,5.362577494028477e-06,64,0.15387205208053772
