epoch,train_rmse,val_rmse,lr,hidden_size,dropout
1,0.060091988544811535,0.5441603606604545,0.00013756683637631563,112,0.17630802051572558
2,0.1360856064302309,0.44656237103101176,0.00013756683637631563,112,0.17630802051572558
3,0.0997641874248256,0.497318552962678,0.00013756683637631563,112,0.17630802051572558
4,0.06260690746308847,0.48755426505870514,0.00013756683637631563,112,0.17630802051572558
5,0.07076767011251826,0.5116179732711343,0.00013756683637631563,112,0.17630802051572558
6,0.05957205095502344,0.4707319834847008,6.878341818815782e-05,112,0.17630802051572558
7,0.08477886665785414,0.4064469489067307,6.878341818815782e-05,112,0.17630802051572558
8,0.09459067011328219,0.2714642464460739,6.878341818815782e-05,112,0.17630802051572558
9,0.0671944657292697,0.3920268541312967,6.878341818815782e-05,112,0.17630802051572558
10,0.06636603432589229,0.40779268058489515,6.878341818815782e-05,112,0.17630802051572558
11,0.06034064767364638,0.4265711143070422,6.878341818815782e-05,112,0.17630802051572558
12,0.05867789850583188,0.4334674679399401,3.439170909407891e-05,112,0.17630802051572558
13,0.06783682030987565,0.4114874697926162,3.439170909407891e-05,112,0.17630802051572558
