epoch,train_rmse,mean_val_rmse,lr,dropout
1,0.24389811105729825,0.23516539762850489,0.0009990133642141358,0.01
2,0.21041890571826938,0.19925488868250116,0.000996057350657239,0.01
3,0.181959690889716,0.1771268118446073,0.0009911436253643444,0.01
4,0.16317593658554777,0.16548764719581807,0.0009842915805643156,0.01
5,0.1474604331434678,0.157663304874586,0.0009755282581475769,0.01
6,0.13594209015547415,0.15213731413339746,0.0009648882429441258,0.01
7,0.12666225884334498,0.14356669177347253,0.0009524135262330099,0.01
8,0.11794557281137978,0.1329516254259512,0.0009381533400219318,0.01
9,0.10898315690986443,0.12104808679211997,0.0009221639627510075,0.01
10,0.10037331919657459,0.11034607368452898,0.0009045084971874736,0.01
11,0.09379708879330079,0.10105668215112784,0.0008852566213878945,0.01
12,0.08939964436796911,0.09494228089493166,0.0008644843137107056,0.01
13,0.08636657697497933,0.09124538959565104,0.0008422735529643443,0.01
14,0.08427975490049701,0.08709079875341819,0.0008187119948743448,0.01
15,0.08217576493015362,0.08577304579351018,0.0007938926261462366,0.01
16,0.08169370728849551,0.08141969704394085,0.0007679133974894982,0.01
17,0.07975952545426294,0.08660092148077259,0.0007408768370508576,0.01
18,0.08247449775483233,0.08252382412564471,0.0007128896457825362,0.01
19,0.08130726214110086,0.09209683888559177,0.0006840622763423389,0.01
20,0.08551415583982325,0.08053467975492197,0.0006545084971874735,0.01
21,0.0809352274718099,0.08102304416216695,0.0006243449435824271,0.01
22,0.07874513218943786,0.07370825122330982,0.0005936906572928622,0.01
23,0.07624645869763726,0.07363735619668539,0.000562666616782152,0.01
24,0.07538467235663263,0.07174503441087872,0.0005313952597646566,0.01
25,0.0747167384406343,0.07138101693610305,0.0004999999999999998,0.01
26,0.07432167747233019,0.07103799716784064,0.00046860474023534314,0.01
27,0.0740991944586354,0.07061044462021195,0.00043733338321784774,0.01
28,0.07381807489174329,0.07043222899449879,0.00040630934270713756,0.01
29,0.07362831389004293,0.07016821188293974,0.00037565505641757246,0.01
30,0.07342980129424809,0.06999079598088423,0.00034549150281252633,0.01
31,0.07326138755636163,0.06983162000666365,0.00031593772365766105,0.01
32,0.07310726499521919,0.06968901532812892,0.00028711035421746355,0.01
33,0.07296830205558878,0.06956905214609181,0.0002591231629491422,0.01
34,0.07284674979215813,0.0694637823930742,0.00023208660251050145,0.01
35,0.07273120299589877,0.06937384481930874,0.00020610737385376337,0.01
36,0.0726275811431741,0.06929466070838519,0.00018128800512565502,0.01
37,0.07253573999690714,0.06922778066715239,0.00015772644703565555,0.01
38,0.07245604833579172,0.06917041397666294,0.00013551568628929425,0.01
39,0.07238538472332275,0.06912231386052752,0.00011474337861210535,0.01
40,0.07231845498752318,0.0690812833892653,9.549150281252626e-05,0.01
41,0.072262292931485,0.06904747636367874,7.783603724899252e-05,0.01
42,0.07221615646507241,0.0690203537437543,6.184665997806817e-05,0.01
43,0.07217465247517534,0.06899883815465427,4.7586473766990294e-05,0.01
44,0.07213982587900986,0.06898222934449719,3.5111757055874305e-05,0.01
45,0.07211109998465196,0.06897004876233494,2.4471741852423218e-05,0.01
46,0.07208889203658311,0.06896155246262929,1.5708419435684507e-05,0.01
47,0.07207252446526559,0.06895615454382022,8.856374635655634e-06,0.01
48,0.07205910519850155,0.06895309122750064,3.942649342761115e-06,0.01
