epoch,train_rmse,val_rmse
1,0.11197739127335306,0.25898963449645407
2,0.08117251687851348,0.2838017321963514
3,0.07283755391652373,0.2814810909632738
4,0.07115118282881881,0.2817854565385552
5,0.07383082013204167,0.27311854263154595
6,0.08078913698410387,0.24747121842550165
7,0.08757174716181633,0.26154392256173525
8,0.08816673770503737,0.2689188228711375
9,0.09502852228375813,0.27698607970121586
10,0.08560961268142404,0.28260743043135167
11,0.10135646358958553,0.2777698471914312
12,0.09503875807670131,0.28131477195656207
13,0.09376129736544475,0.28202020217293583
14,0.0955482701346911,0.28112973899402455
