Epoch,Train_RMSE,Train_MAE,Avg_Val_RMSE,Avg_Val_MAE,MGFarm_18650_C07_RMSE,MGFarm_18650_C07_MAE,MGFarm_18650_C19_RMSE,MGFarm_18650_C19_MAE,MGFarm_18650_C21_RMSE,MGFarm_18650_C21_MAE
59,0.075859,0.041155,0.164245,0.146022,0.165592,0.150996,0.192040,0.174555,0.135104,0.112516
60,0.062481,0.028134,0.184499,0.163241,0.189370,0.172713,0.210850,0.191308,0.153277,0.125702
61,0.066548,0.026800,0.194908,0.171606,0.202024,0.183587,0.219175,0.198021,0.163524,0.133209
62,0.062566,0.023866,0.187533,0.166127,0.192229,0.175495,0.215270,0.195507,0.155100,0.127378
63,0.061576,0.022999,0.183964,0.163349,0.187853,0.171816,0.212945,0.193611,0.151096,0.124619
64,0.058621,0.023070,0.185860,0.164621,0.190909,0.174204,0.212002,0.192354,0.154669,0.127304
65,0.057658,0.021763,0.180796,0.160854,0.184264,0.168808,0.209599,0.190892,0.148524,0.122861
66,0.057562,0.021451,0.173341,0.154527,0.175734,0.161134,0.203064,0.185975,0.141226,0.116471
67,0.059220,0.021615,0.174805,0.156205,0.177048,0.162787,0.205396,0.188406,0.141971,0.117423
68,0.059105,0.021597,0.172668,0.154725,0.174487,0.160763,0.203794,0.187424,0.139722,0.115990
69,0.058069,0.021097,0.168048,0.151067,0.168903,0.155755,0.199441,0.184123,0.135799,0.113324
70,0.058187,0.020691,0.170043,0.153324,0.170796,0.158043,0.202273,0.186961,0.137061,0.114969
71,0.057830,0.020299,0.169610,0.153388,0.169846,0.157469,0.202328,0.187214,0.136655,0.115481
72,0.057074,0.020079,0.170770,0.154947,0.170621,0.158618,0.204463,0.189260,0.137226,0.116964
73,0.057350,0.020130,0.167144,0.151822,0.166374,0.154685,0.201010,0.186684,0.134047,0.114097
74,0.057494,0.020042,0.171803,0.156804,0.171178,0.159917,0.206692,0.192025,0.137539,0.118470
75,0.055240,0.019668,0.170338,0.155820,0.169261,0.158401,0.205679,0.191503,0.136074,0.117556
76,0.056380,0.020148,0.163302,0.148987,0.162591,0.151452,0.196016,0.182119,0.131299,0.113389
77,0.058576,0.020393,0.159849,0.145963,0.158771,0.148060,0.193424,0.180253,0.127351,0.109577
78,0.057893,0.020282,0.157440,0.143532,0.156238,0.145468,0.190744,0.177313,0.125337,0.107815
79,0.057094,0.020228,0.156402,0.142437,0.155059,0.144285,0.190035,0.176665,0.124112,0.106360
80,0.055362,0.019989,0.157241,0.143116,0.155813,0.144940,0.191301,0.177671,0.124608,0.106736
81,0.052554,0.019663,0.157964,0.143594,0.156987,0.145920,0.191197,0.177115,0.125709,0.107747
82,0.048018,0.019217,0.161583,0.147262,0.160676,0.149800,0.195595,0.182098,0.128480,0.109889
83,0.046990,0.018909,0.166508,0.151741,0.166071,0.154879,0.200435,0.186213,0.133016,0.114132
84,0.047127,0.018726,0.165951,0.151013,0.165397,0.154204,0.201063,0.186872,0.131391,0.111964
85,0.052573,0.019811,0.165213,0.150231,0.164828,0.153559,0.199799,0.185577,0.131013,0.111557
86,0.050308,0.019450,0.164576,0.149351,0.164288,0.152808,0.198564,0.183630,0.130875,0.111614
87,0.047054,0.019170,0.161658,0.145901,0.161670,0.149712,0.194426,0.178714,0.128877,0.109277
88,0.047925,0.020260,0.167636,0.151915,0.167785,0.155986,0.201446,0.185159,0.133675,0.114600
89,0.046632,0.020323,0.167126,0.151708,0.166813,0.155270,0.201602,0.185957,0.132963,0.113896
90,0.046671,0.020253,0.169069,0.153838,0.168515,0.157132,0.204044,0.188705,0.134648,0.115676
91,0.047711,0.020854,0.168747,0.153562,0.168180,0.156846,0.204643,0.189733,0.133418,0.114108
92,0.049139,0.021739,0.170212,0.154928,0.169655,0.158316,0.207075,0.192052,0.133906,0.114415
93,0.048817,0.021156,0.172170,0.156839,0.171762,0.160445,0.209257,0.194343,0.135491,0.115728
94,0.050627,0.021598,0.174091,0.158485,0.173624,0.162114,0.211863,0.196549,0.136785,0.116792
95,0.053668,0.022750,0.172127,0.156556,0.171538,0.160128,0.210351,0.195395,0.134493,0.114145
96,0.053464,0.022763,0.173523,0.158128,0.172712,0.161412,0.211919,0.196973,0.135938,0.115998
97,0.055678,0.025027,0.178351,0.161319,0.179218,0.166433,0.212534,0.195715,0.143300,0.121810
98,0.063248,0.023820,0.167406,0.151925,0.166733,0.155016,0.203630,0.190053,0.131854,0.110705
99,0.060683,0.022684,0.171724,0.156518,0.170299,0.159178,0.211149,0.196734,0.133726,0.113643
100,0.050959,0.020726,0.170969,0.155635,0.169683,0.158395,0.209285,0.194657,0.133941,0.113853
101,0.048697,0.020078,0.172057,0.156697,0.171033,0.159675,0.209458,0.194637,0.135679,0.115779
102,0.047198,0.019650,0.173023,0.157648,0.172130,0.160715,0.209865,0.194951,0.137073,0.117279
103,0.047708,0.019891,0.167697,0.152931,0.168353,0.157267,0.200530,0.186759,0.134207,0.114767
104,0.047449,0.020126,0.159488,0.145478,0.163224,0.152408,0.185017,0.172488,0.130222,0.111538
105,0.046026,0.019736,0.172178,0.156957,0.171326,0.159998,0.208427,0.193706,0.136782,0.117166
106,0.048129,0.020185,0.151618,0.139029,0.153186,0.143867,0.178609,0.166578,0.123059,0.106641
107,0.044703,0.019237,0.137860,0.124439,0.147218,0.136889,0.150390,0.136052,0.115970,0.100377
108,0.044310,0.018986,0.148451,0.133277,0.163087,0.152201,0.153127,0.135934,0.129139,0.111695
109,0.042997,0.018856,0.172743,0.157484,0.172261,0.160816,0.207837,0.193304,0.138133,0.118332
110,0.050560,0.020350,0.170183,0.154956,0.169613,0.158169,0.204971,0.190462,0.135964,0.116237
111,0.046082,0.019570,0.169535,0.154368,0.168942,0.157540,0.204220,0.189780,0.135442,0.115783
112,0.047749,0.019713,0.167941,0.152527,0.167363,0.155799,0.202128,0.187288,0.134332,0.114495
113,0.046273,0.020006,0.168530,0.152285,0.168988,0.156673,0.200985,0.184814,0.135618,0.115369
114,0.045365,0.019170,0.168879,0.153196,0.168757,0.156910,0.202621,0.187305,0.135258,0.115372
115,0.046475,0.019704,0.166831,0.151476,0.166529,0.154945,0.201051,0.186472,0.132914,0.113011
116,0.053341,0.021330,0.167760,0.152475,0.167285,0.155885,0.202425,0.187504,0.133570,0.114036
117,0.051306,0.020592,0.164898,0.149402,0.164613,0.153070,0.198490,0.183310,0.131591,0.111826
118,0.051954,0.021149,0.164244,0.148543,0.164169,0.152432,0.197150,0.181578,0.131414,0.111619
119,0.051632,0.021393,0.164412,0.148442,0.164611,0.152707,0.196602,0.180535,0.132022,0.112083
120,0.051005,0.021886,0.163314,0.146915,0.163883,0.151724,0.195437,0.178194,0.130621,0.110826
121,0.053505,0.024029,0.163191,0.147179,0.163344,0.151499,0.195470,0.179064,0.130759,0.110974
122,0.050912,0.023746,0.158290,0.142816,0.162062,0.150286,0.182584,0.167626,0.130225,0.110535
123,0.050368,0.023938,0.158752,0.143903,0.161208,0.149876,0.185576,0.171676,0.129472,0.110158
124,0.049583,0.022842,0.154881,0.140538,0.161363,0.150364,0.173504,0.160388,0.129775,0.110862
125,0.053822,0.024854,0.149940,0.135757,0.156278,0.145495,0.167257,0.154298,0.126285,0.107478
126,0.054679,0.023555,0.154952,0.140487,0.160442,0.149234,0.174233,0.160944,0.130181,0.111284
127,0.058441,0.025975,0.151113,0.137737,0.156492,0.146210,0.168793,0.157095,0.128055,0.109907
128,0.066750,0.029649,0.162195,0.147179,0.161492,0.150167,0.194403,0.179865,0.130690,0.111506
129,0.078669,0.036340,0.160190,0.145113,0.159830,0.148145,0.190533,0.175827,0.130208,0.111367
130,0.053065,0.026009,0.159170,0.144406,0.158682,0.147443,0.190320,0.176147,0.128508,0.109627
131,0.050798,0.021108,0.158068,0.144122,0.157420,0.146556,0.189007,0.175952,0.127776,0.109858
132,0.061768,0.025545,0.154169,0.140814,0.153580,0.142754,0.183288,0.170706,0.125640,0.108983
133,0.062836,0.025360,0.152525,0.139921,0.150591,0.141019,0.184996,0.172333,0.121988,0.106411
134,0.077682,0.033971,0.138138,0.124865,0.136035,0.125914,0.167350,0.153688,0.111029,0.094994
135,0.069244,0.028598,0.136364,0.123144,0.134232,0.124305,0.165430,0.151619,0.109432,0.093507
136,0.081990,0.036694,0.131718,0.116821,0.132185,0.122026,0.154220,0.135417,0.108750,0.093022
137,0.095008,0.045158,0.131605,0.117856,0.130873,0.120436,0.156430,0.141351,0.107511,0.091781
138,0.114854,0.063328,0.131624,0.118880,0.129476,0.119408,0.160735,0.147644,0.104660,0.089588
139,0.118000,0.067562,0.127134,0.114273,0.124767,0.114296,0.155677,0.142383,0.100957,0.086141
140,0.161277,0.118672,0.182218,0.147436,0.203633,0.169730,0.161393,0.127750,0.181629,0.144828
141,0.189068,0.154213,0.192622,0.155940,0.197984,0.162990,0.168583,0.129003,0.211297,0.175825
142,0.168495,0.134954,0.179244,0.144485,0.186708,0.155046,0.155608,0.121045,0.195415,0.157363
143,0.233217,0.187545,0.175647,0.142798,0.177821,0.146625,0.157929,0.121083,0.191191,0.160686
144,0.207106,0.169851,0.155236,0.124402,0.159283,0.130734,0.137802,0.101698,0.168622,0.140773
145,0.200640,0.163133,0.163666,0.131379,0.166168,0.136074,0.145295,0.108793,0.179535,0.149268
146,0.197338,0.162187,0.164883,0.131461,0.166967,0.136035,0.144668,0.107383,0.183014,0.150963
147,0.192464,0.156561,0.164303,0.130415,0.167050,0.135262,0.145302,0.106777,0.180557,0.149207
148,0.189962,0.153758,0.159785,0.127330,0.161635,0.131471,0.141732,0.104554,0.175987,0.145963
149,0.191945,0.155398,0.159895,0.127370,0.161831,0.131868,0.141394,0.103287,0.176461,0.146956
150,0.192262,0.155561,0.160028,0.127614,0.161964,0.132001,0.141437,0.103506,0.176682,0.147336
151,0.192369,0.155605,0.160028,0.127614,0.161964,0.132001,0.141437,0.103506,0.176682,0.147336
152,0.192346,0.155705,0.160070,0.127891,0.161921,0.132169,0.141465,0.103751,0.176825,0.147753
153,0.191754,0.155530,0.159761,0.128130,0.161128,0.132153,0.141104,0.104068,0.177049,0.148169
154,0.190835,0.154940,0.160207,0.128215,0.161591,0.132281,0.140489,0.103507,0.178540,0.148856
155,0.189264,0.153327,0.160758,0.127057,0.162465,0.131453,0.140052,0.101699,0.179758,0.148018
156,0.181840,0.144192,0.143828,0.112586,0.145424,0.115307,0.132098,0.101078,0.153963,0.121373
157,0.174311,0.139285,0.127664,0.094054,0.126375,0.092516,0.111183,0.075832,0.145435,0.113815
158,0.166478,0.126313,0.150373,0.124303,0.155448,0.132144,0.152871,0.122554,0.142799,0.118211
159,0.132687,0.087074,0.131910,0.116887,0.126466,0.114875,0.161652,0.142965,0.107613,0.092819
160,0.117148,0.068964,0.130897,0.117997,0.126985,0.117141,0.161861,0.146799,0.103846,0.090050
161,0.094746,0.050325,0.141971,0.129924,0.138794,0.129921,0.177009,0.163512,0.110111,0.096339
162,0.064726,0.033509,0.156582,0.142216,0.154824,0.144087,0.192071,0.177643,0.122849,0.104919
163,0.061518,0.032984,0.155049,0.140407,0.153012,0.142482,0.189363,0.173374,0.122773,0.105365
164,0.061436,0.033153,0.155164,0.139415,0.154797,0.143110,0.186295,0.168706,0.124401,0.106429
165,0.053476,0.026377,0.163020,0.146825,0.162602,0.150676,0.195459,0.177483,0.131000,0.112316
166,0.097172,0.067434,0.155432,0.126400,0.167839,0.135497,0.154278,0.123209,0.144179,0.120494
167,0.147352,0.109133,0.164468,0.140823,0.162319,0.142611,0.193181,0.164325,0.137904,0.115532
168,0.065449,0.034293,0.171215,0.155489,0.170042,0.158203,0.204802,0.187586,0.138800,0.120678
169,0.048128,0.023372,0.175808,0.159440,0.174910,0.162748,0.209860,0.191078,0.142654,0.124496
170,0.039185,0.019538,0.173716,0.158120,0.172794,0.161352,0.206821,0.189057,0.141532,0.123950
171,0.045933,0.025561,0.177597,0.158304,0.181659,0.166566,0.201236,0.179117,0.149896,0.129230
172,0.110726,0.063481,0.165338,0.147795,0.166948,0.154470,0.192940,0.171908,0.136126,0.117009
173,0.038696,0.018281,0.173380,0.158190,0.173221,0.161913,0.205757,0.189069,0.141163,0.123587
174,0.170618,0.129507,0.192086,0.159868,0.201482,0.172217,0.175304,0.139546,0.199471,0.167841
175,0.151275,0.119173,0.169031,0.137171,0.181683,0.152983,0.169161,0.132651,0.156251,0.125877
176,0.085118,0.054337,0.158428,0.141143,0.156975,0.143153,0.198644,0.182335,0.119666,0.097941
177,0.064956,0.028677,0.164698,0.151261,0.161557,0.151644,0.203989,0.190025,0.128548,0.112115
178,0.071845,0.026500,0.161993,0.148156,0.160771,0.150139,0.197068,0.183486,0.128140,0.110842
179,0.070374,0.025048,0.162778,0.149024,0.161313,0.150828,0.198141,0.184622,0.128881,0.111623
180,0.075514,0.026336,0.163989,0.150143,0.162592,0.152016,0.199136,0.185624,0.130239,0.112789
181,0.081183,0.027079,0.164175,0.150226,0.162918,0.152270,0.199395,0.185949,0.130211,0.112461
182,0.088537,0.029909,0.165194,0.151140,0.164133,0.153371,0.199799,0.186265,0.131650,0.113783
183,0.094125,0.031822,0.165742,0.151541,0.164968,0.154085,0.200240,0.186616,0.132018,0.113922
184,0.096952,0.032836,0.165494,0.151377,0.164384,0.153619,0.200526,0.186972,0.131572,0.113541
185,0.100718,0.034319,0.166114,0.152129,0.164696,0.154096,0.201626,0.188058,0.132019,0.114232
186,0.071986,0.025022,0.166688,0.152684,0.165308,0.154715,0.202372,0.188769,0.132385,0.114566
187,0.100586,0.034233,0.166897,0.152904,0.165540,0.154928,0.202366,0.188739,0.132784,0.115045
188,0.061586,0.023485,0.167091,0.152941,0.165617,0.154938,0.202695,0.188703,0.132959,0.115180
189,0.055607,0.022197,0.168127,0.154022,0.166519,0.155934,0.204203,0.190204,0.133660,0.115928
190,0.055413,0.022474,0.170731,0.156318,0.169417,0.158612,0.206436,0.191980,0.136339,0.118362
191,0.055660,0.022753,0.171996,0.157406,0.170850,0.159927,0.207774,0.193213,0.137365,0.119080
192,0.060993,0.023728,0.172113,0.157460,0.171135,0.160151,0.208030,0.193617,0.137175,0.118611
193,0.063980,0.023766,0.172619,0.157826,0.171841,0.160706,0.207798,0.193272,0.138217,0.119502
194,0.067506,0.026402,0.168111,0.152252,0.167469,0.155828,0.205318,0.190199,0.131546,0.110728
195,0.071032,0.025800,0.168534,0.153672,0.167569,0.156323,0.203956,0.189732,0.134077,0.114960
196,0.067658,0.024596,0.167953,0.153267,0.166813,0.155712,0.203651,0.189727,0.133394,0.114361
197,0.069732,0.026163,0.169115,0.154443,0.168004,0.156936,0.205049,0.191208,0.134292,0.115183
198,0.090183,0.031884,0.168897,0.154244,0.167783,0.156714,0.204729,0.190912,0.134180,0.115106
199,0.093300,0.032774,0.168204,0.153383,0.167222,0.156023,0.203894,0.189907,0.133496,0.114218
200,0.074953,0.027902,0.168159,0.153384,0.167138,0.155971,0.204049,0.190226,0.133291,0.113955
201,0.093702,0.032973,0.168603,0.153786,0.167692,0.156474,0.204016,0.190064,0.134101,0.114819
202,0.079238,0.028883,0.166895,0.152063,0.165881,0.154614,0.202320,0.188471,0.132484,0.113104
203,0.076932,0.028292,0.168404,0.153536,0.167491,0.156261,0.204039,0.190080,0.133683,0.114268
204,0.080829,0.029258,0.167974,0.153064,0.167072,0.155779,0.203326,0.189260,0.133523,0.114151
205,0.073717,0.027020,0.168149,0.153181,0.167253,0.155922,0.203562,0.189485,0.133633,0.114135
206,0.074078,0.027527,0.169956,0.154983,0.169103,0.157823,0.205365,0.191140,0.135399,0.115986
207,0.083562,0.030074,0.168455,0.153464,0.167577,0.156211,0.203557,0.189396,0.134232,0.114784
208,0.070898,0.026548,0.169455,0.154396,0.169080,0.157595,0.203442,0.189257,0.135844,0.116336
209,0.076582,0.028641,0.169686,0.154766,0.168804,0.157517,0.204612,0.190480,0.135641,0.116301
210,0.068601,0.025538,0.169522,0.154608,0.168517,0.157242,0.204767,0.190768,0.135280,0.115814
211,0.074245,0.027596,0.169496,0.154628,0.168495,0.157225,0.204487,0.190481,0.135507,0.116177
212,0.079851,0.029047,0.168875,0.154073,0.167799,0.156558,0.204006,0.190176,0.134818,0.115485
213,0.076669,0.028264,0.169265,0.154457,0.168481,0.157181,0.203621,0.189779,0.135692,0.116411
214,0.070817,0.026689,0.169299,0.154490,0.168492,0.157237,0.203876,0.189943,0.135530,0.116291
215,0.064444,0.026013,0.170043,0.155260,0.169350,0.158167,0.204742,0.190758,0.136037,0.116854
216,0.068850,0.026183,0.167346,0.152517,0.166467,0.155184,0.202174,0.188443,0.133396,0.113924
217,0.070454,0.026797,0.168516,0.153594,0.167547,0.156254,0.203820,0.189925,0.134181,0.114601
218,0.066091,0.024752,0.168765,0.153998,0.167944,0.156679,0.203342,0.189667,0.135009,0.115648
219,0.076614,0.027681,0.167698,0.152784,0.166800,0.155386,0.202396,0.188766,0.133899,0.114201
220,0.083736,0.029725,0.166502,0.150934,0.166366,0.154355,0.200130,0.185979,0.133010,0.112468
221,0.074974,0.029676,0.167425,0.152084,0.167311,0.155385,0.200982,0.187367,0.133983,0.113500
222,0.079993,0.031125,0.170792,0.154696,0.171548,0.159018,0.202691,0.187834,0.138137,0.117237
223,0.091372,0.033985,0.167684,0.152183,0.167498,0.155441,0.200779,0.186720,0.134776,0.114387
224,0.117915,0.042982,0.168170,0.152334,0.168223,0.155918,0.199872,0.185566,0.136414,0.115518
225,0.106593,0.038175,0.169161,0.153536,0.169930,0.157659,0.199472,0.184848,0.138081,0.118100
226,0.110417,0.038614,0.166795,0.151420,0.167205,0.154971,0.197431,0.183900,0.135750,0.115389
227,0.077826,0.026252,0.164044,0.149246,0.163985,0.152276,0.195303,0.182417,0.132844,0.113046
228,0.079096,0.026137,0.163377,0.148699,0.163212,0.151653,0.195009,0.182151,0.131910,0.112294
229,0.069904,0.023945,0.162020,0.148243,0.161640,0.150916,0.194138,0.181718,0.130281,0.112096
230,0.061168,0.021613,0.160339,0.146846,0.159919,0.149449,0.192568,0.180409,0.128529,0.110679
231,0.061561,0.021837,0.159904,0.146492,0.159718,0.149296,0.191493,0.179429,0.128500,0.110751
232,0.063796,0.022516,0.158658,0.145338,0.158788,0.148414,0.189482,0.177561,0.127704,0.110038
233,0.062066,0.021810,0.157276,0.144098,0.157513,0.147233,0.187570,0.175799,0.126745,0.109263
233,0.062066,0.021810,0.157276,0.144098,0.157513,0.147233,0.187570,0.175799,0.126745,0.109263
