epoch,train_rmse,train_mae,avg_val_rmse,avg_val_mae,lr,val_rmse_MGFarm_18650_C07,val_rmse_MGFarm_18650_C19,val_rmse_MGFarm_18650_C21,val_mae_MGFarm_18650_C07,val_mae_MGFarm_18650_C19,val_mae_MGFarm_18650_C21
1,0.0598311661481844,0.032669954,0.14250980998224075,0.12913500796059899,9.990133642141359e-05,0.14052982265806585,0.17570767844073878,0.11129192884791758,0.1297917449434602,0.1635094670879681,0.0941038118503686
2,0.03930859274094272,0.021546252,0.17718598817081535,0.16039213027785323,9.96057350657239e-05,0.18027659366290757,0.19999985290367367,0.15128151794586486,0.16660442368320685,0.18228829741720928,0.13228366973314357
3,0.03697157295598737,0.021019958,0.16952382439261246,0.15440485308456672,9.911436253643444e-05,0.1691975172507521,0.20497025699619065,0.13440369893089457,0.15794224024499512,0.1900200443077886,0.11525227470091647
4,0.042141882603699665,0.0196746,0.17052790707155083,0.15606210937110057,9.842915805643155e-05,0.1710274415137369,0.201168126576955,0.1393881531239606,0.15978780189605166,0.18664035803860207,0.121758168178648
5,0.04111092351768027,0.019606417,0.1785035390563262,0.16330916947101226,9.755282581475769e-05,0.17957481054083554,0.20880331650789874,0.1471324901202443,0.16783658804220386,0.19239394293669962,0.12969697743413333
6,0.04161598958072313,0.019393727,0.16396071870639448,0.1499196488093887,9.648882429441257e-05,0.1635434945469659,0.19605348515277407,0.13228517641944348,0.15268686532050077,0.18282738566067103,0.1142446954469943
7,0.046829436126447695,0.01978972,0.17828993445103047,0.1631798386692984,9.524135262330098e-05,0.17888766769866016,0.210504022096979,0.14547811355745233,0.16742692322354283,0.19486304829785964,0.12724954448649273
8,0.05112157524913392,0.020343727,0.17846220357452788,0.1627462824698672,9.381533400219317e-05,0.17907690160387865,0.21169065355784306,0.14461905556186191,0.1672745027536188,0.19532124713267088,0.12564309752331193
9,0.04969780901979064,0.02036803,0.17509717336103395,0.15965677527793562,9.221639627510075e-05,0.17501688394380455,0.20914497010116243,0.14112966603813487,0.16347376654458526,0.19303189476961943,0.12246466451960221
10,0.049138504601658806,0.020933913,0.16833732253364464,0.15388621847169426,9.045084971874735e-05,0.16652866934160448,0.20552371676454279,0.13295958149478665,0.1558939562185693,0.19052080560827955,0.11524389358823392
11,0.051100297624005586,0.021340573,0.16646743931391553,0.15217812062442482,8.852566213878945e-05,0.16438369088798707,0.20366905497413154,0.131349572079628,0.15387278251689485,0.18854562757509719,0.11411595178128241
12,0.052108782426955984,0.023391008,0.16628115583541894,0.15226793955289766,8.644843137107056e-05,0.16519412252882495,0.2009483370000788,0.132701007977353,0.15466554383392836,0.18722817941724554,0.11491009540751915
13,0.04668796300497825,0.019849475,0.16295128680826307,0.14917162856413096,8.422735529643442e-05,0.16152444996572826,0.19801757333158998,0.129311837127471,0.15128447624917507,0.18414797063661412,0.11208243880660367
14,0.046625873061533776,0.020527855,0.1604742293461742,0.14725918750457054,8.187119948743447e-05,0.15885450106591475,0.1947851128218102,0.12778307415079765,0.1489364680300128,0.18118664212654412,0.11165445235715467
15,0.0480685837217444,0.020967089,0.1632476580745819,0.14797245503912024,7.938926261462366e-05,0.16270850233893766,0.19740869136782943,0.12962578051697857,0.15120524149234596,0.18244799053397015,0.1102641330910446
16,0.04829536859380576,0.020256314,0.1639595735444568,0.14886851266040554,7.679133974894982e-05,0.1634908880728367,0.19821575077618034,0.13017208178435338,0.15211988236419127,0.18317023843465224,0.11131541718237313
17,0.05231313677572557,0.024446316,0.16022621189321493,0.14460883410422568,7.408768370508575e-05,0.16011516362657202,0.1925874238134883,0.12797604823958442,0.1482232709859471,0.1775073824926599,0.10809584883407006
18,0.04907236106951125,0.02097701,0.16145661993022423,0.14544965175593313,7.128896457825361e-05,0.16159078155344486,0.1948988673962388,0.127880210840989,0.149630612596389,0.17935465021810434,0.10736369245330604
19,0.04841523492299753,0.020484086,0.16377517307175826,0.14764341137495357,6.840622763423389e-05,0.16405933466125974,0.19745596350933853,0.12981022104467654,0.152014077714933,0.18152560332370146,0.10939055308622624
20,0.04965491393083129,0.020906692,0.16492108764899746,0.1488775615964837,6.545084971874736e-05,0.16529118711512353,0.1984581225550736,0.13101395327679527,0.15330932725595384,0.18266618749990746,0.11065717003358974
21,0.050746212800307465,0.021584291,0.16301972483220908,0.14706619802853238,6.243449435824272e-05,0.16336331785962682,0.19513188459876737,0.13056397203823308,0.15124819666720596,0.17970544163225124,0.11024495578613992
22,0.050688283986526396,0.020819955,0.16326407664665757,0.14716312396991524,5.9369065729286224e-05,0.16337661951974225,0.1969667404390479,0.12944886998118257,0.15134412515137596,0.18112656938871605,0.1090186773696537
23,0.051559661123950225,0.02090764,0.165827712397451,0.14957717007495322,5.626666167821521e-05,0.16572163998700587,0.20122041943509625,0.1305410777702509,0.15375320363304296,0.1850370115602989,0.10994129503151777
24,0.052340894974072134,0.02103996,0.16468768641209844,0.14859820307347535,5.3139525976465657e-05,0.16441650627039603,0.19946097758504017,0.1301855753808592,0.1524987501430758,0.18340608186525537,0.10988977721209484
25,0.05305370504618238,0.021449756,0.1630754089508634,0.14708985643793127,4.999999999999998e-05,0.16243608186329384,0.19818101028836196,0.1286091347009344,0.15060379589289244,0.18206504446332913,0.10860072895757224
26,0.05653620467081633,0.024133729,0.1550554873739819,0.13957701998041658,4.6860474023534314e-05,0.15342076309991287,0.18980072424417735,0.1219449747778555,0.14191929735295283,0.17398649657963128,0.10282526600866557
27,0.05352858605933175,0.022965245,0.14802431586616385,0.13310166862770406,4.3733338321784775e-05,0.1462872627523781,0.18105620167010503,0.11672948317600845,0.13486210695396456,0.16668235288713357,0.09776054604201406
28,0.05333553304651651,0.022784326,0.144414973578227,0.12990471618425545,4.063093427071375e-05,0.14237100619202686,0.1771817642347927,0.11369215030786142,0.1312024854336771,0.16353105526852416,0.09498060785056507
29,0.05305495821884294,0.02271581,0.14471652216860667,0.13027121405283867,3.756550564175724e-05,0.14266741409943615,0.17702517062174455,0.11445698178463935,0.13144375908512743,0.16384911154970652,0.09552077152368209
30,0.057335170571608855,0.02416398,0.1467897360940823,0.1321750057956608,3.454915028125263e-05,0.14488839250231386,0.17953065361974535,0.1159501621601877,0.13356586967519624,0.16630059236349107,0.09665855534829516
31,0.05859212064210484,0.024036622,0.1486092800000697,0.13388289788401536,3.1593772365766105e-05,0.14682337072560211,0.18191533418062128,0.11708913509398572,0.13544426446727426,0.16866612287774999,0.0975383063070218
32,0.05867122645635968,0.023778722,0.15045447993130887,0.13580994862644905,2.8711035421746357e-05,0.14853606102958355,0.18477852473539935,0.1180488540289437,0.13729572653712177,0.17183378941966326,0.09830032992256207
33,0.05883947807927285,0.024214687,0.15429037170094287,0.13939710523390222,2.591231629491422e-05,0.15361593920237743,0.18766188572235173,0.12159329017809944,0.14229303411428595,0.17418955543528888,0.10170872615213179
