epoch,train_rmse,val_rmse
1,0.13785347958632913,0.0641566936580384
2,0.04755024418904598,0.053053079291281426
3,0.045346252777901656,0.05253698872075788
4,0.04473454187123229,0.052363610522323245
5,0.04519822655328861,0.05249784122598416
6,0.04566386175844099,0.05213738845154815
7,0.04626817930739296,0.05042486018306462
8,0.046705641374375745,0.04938426007796273
9,0.047094758448632215,0.047235362500232296
10,0.04733928592645846,0.04502497212485088
11,0.04795465359352713,0.04240190943960651
12,0.0485415371075628,0.04028557171723357
13,0.0488455624055623,0.03874556438464043
14,0.04930025517215042,0.03698454935565395
15,0.04981734904316427,0.035378299681467676
16,0.050216183971031926,0.03388044867493622
17,0.05039338557269749,0.03273114435231581
18,0.05034748219683138,0.03200942777590136
19,0.05037023708707993,0.031201956521275775
20,0.05056397756492685,0.030946668165434725
21,0.05076164938725653,0.030446338600106794
22,0.050767374017282076,0.03010971406628136
23,0.050929927456126824,0.029837566147299606
24,0.050974162744018385,0.030010883463247002
25,0.051101692832845345,0.029711155347974076
26,0.05131645764225764,0.029994058655218727
27,0.05151801047295188,0.03007077681934338
28,0.051665264608601304,0.03006262614350314
29,0.05173215043596627,0.030220020010763238
