epoch,train_rmse,val_rmse
1,0.07577762370598347,0.03787066019464312
2,0.06683483936900593,0.04572661077735448
3,0.1295152385549413,0.048949197783518215
4,0.11088211435266165,0.04814085321650414
5,0.0909171278707914,0.050009543515486005
6,0.07384348127290087,0.034307736064850575
7,0.05614346163963079,0.033793353821513536
8,0.05286584368750889,0.03861831819494451
9,0.050256541796338074,0.035653794554630816
10,0.052073015181707115,0.03376589645396902
11,0.05271234021156051,0.032488889429669834
12,0.049240729664619,0.03225325364569322
13,0.050936918712460824,0.03203344112483459
14,0.05285723913877899,0.03243548041681409
15,0.05373955921118898,0.03472651848793791
16,0.05425872115624096,0.050421118449386265
17,0.05185213606785121,0.0633042491011882
