epoch,train_rmse,val_rmse
1,0.07594624567754414,0.05306666840403491
2,0.06359548826214055,0.04913208838592467
3,0.07724105808573342,0.0484965332991445
4,0.07681659217556983,0.043450085982836444
5,0.0728314390758897,0.03995530352285853
6,0.0730987266857381,0.037720155531216805
7,0.060712410798553045,0.03445606775067096
8,0.05231350024465018,0.046317118324144264
9,0.05903204788833973,0.04151233522252161
10,0.06003444839943399,0.04803073448367581
11,0.04635825417312497,0.030302058989120695
12,0.05069919997993637,0.03530714569506695
13,0.04877463902269923,0.03479640107173692
14,0.04945740277591325,0.03473401593910043
15,0.04936000397864099,0.04015375312889411
