epoch,train_rmse,val_rmse
1,0.10119834556832193,0.06917930220833356
2,0.0579001979958063,0.07401084908821473
3,0.06121246854424452,0.06716278845094246
4,0.062146675684124866,0.0629890268660304
5,0.06249908947788319,0.05851071443925983
6,0.061041271643963516,0.05452830652932433
7,0.0616819639350732,0.05261319905433657
8,0.06430383465356176,0.05168212053916199
9,0.06785360812752922,0.05610805466712025
10,0.06485753679030379,0.056658691183523964
11,0.06700242447072462,0.0567099653864901
12,0.06180803347759453,0.05722212426269279
13,0.07650700934869223,0.04811172307320247
14,0.07625193105836942,0.04582536989741355
15,0.08616635297369545,0.03761685055445335
16,0.06846733737264572,0.0361174171512088
17,0.06624598907298547,0.08113376532761306
18,0.06101545049861401,0.07426619466738443
19,0.06033213192584768,0.08047409482462908
20,0.05635377816470124,0.07959626530155252
