epoch,train_rmse,val_rmse
1,0.19742726610206016,0.21879081741266515
2,0.1937181703584862,0.20108569375468058
3,0.15838120508759193,0.2277211606576052
4,0.14664990026620142,0.103935489653933
5,0.13074066355695535,0.23671814180493916
6,0.1974323113769203,0.2191601555749291
7,0.19776715960164074,0.21402118961390393
8,0.1971696016461589,0.21562474103115067
9,0.1971447470431496,0.21202655108749546
10,0.14857313671891492,0.2783846207450739
11,0.09958671448646023,0.2607374244795303
12,0.0923933806137447,0.16565619900697273
13,0.08558187405292383,0.19089170774195804
14,0.0866422574245001,0.13376435803866563
15,0.09923219267947608,0.24041625288381377
16,0.12041786620608969,0.17631842101552986
17,0.10126301200649691,0.1947884045279525
18,0.10043206203397609,0.22405401011631965
19,0.0919010814804648,0.2138864961236652
20,0.09425283746188066,0.23177966229433775
21,0.08786132249119516,0.19671988274877036
22,0.08059147980256678,0.21259557205942312
23,0.07451607239162937,0.11521458502472917
24,0.07623555928107857,0.19838789205948545
25,0.07425639079564626,0.17471179598911102
26,0.07017957120407692,0.16519540574615132
27,0.07069605675507473,0.19171112067095114
28,0.07204550149219208,0.16619377572299568
29,0.07264624907734812,0.1631826788724901
30,0.07260658785278437,0.2082177415757133

test_mae,test_rmse
0.06642877766827443,0.09430042573972906
